iditem_table_d,tabled_Roll,itemId,itemName,itemType,itemDescription
1,20,67,"Potion of Supreme Healing",Potion,"You regain 10d4 + 20 hit points when you drink this potion. The potion's red liquid glimmers when agitated"
2,30,68,"Potion of Invisibility",Potion,"Choose a willing creature that you can see within range. Until the spell ends, the target's speed is doubled, it gains a +2 bonus to AC, it has advantage on Dexterity saving throws, and it gains an additional action on each of its turns. 
That action can be used only to take the Attack (one weapon attack only), Dash, Disengage, Hide, or Use an Object action.
When the spell ends, the target can't move or take actions until after its next turn, as a wave of lethargy sweeps over it."
3,40,69,"Potion of Speed",Potion,"the target's speed is doubled, it gains a +2 bonus to AC, it has advantage on Dexterity saving throws, and it gains an additional action on each of its turns.
 That action can be used only to take the Attack (one weapon attack only), Dash, Disengage, Hide, or Use an Object action.
When the spell ends, the target can't move or take actions until after its next turn, as a wave of lethargy sweeps over it."
4,50,70,"Spell scroll (6th level)",Scroll,"A spell scroll bears the words of a single spell, written in a mystical cipher.
 If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components.
 Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast,
 the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.
If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully.
 The DC equals 16. On a failed check, the spell disappears from the scroll with no other effect.
This scroll contains a 6th level spell. The spell's saving throw DC is 17 and attack bonus is +9
A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scroll, 
the copier must succeed on an Intelligence (Arcana) check with a DC equal to 16. If the check succeeds, the spell is successfully copied. Whether the check succeeds or fails, the spell scroll is destroyed"
5,57,71,"Spell scroll (7th level)",Scroll,"A spell scroll bears the words of a single spell, written in a mystical cipher.
 If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components.
 Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast,
 the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.
If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully.
 The DC equals 16. On a failed check, the spell disappears from the scroll with no other effect.
This scroll contains a 6th level spell. The spell's saving throw DC is 17 and attack bonus is +9
A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scroll, 
the copier must succeed on an Intelligence (Arcana) check with a DC equal to 16. If the check succeeds, the spell is successfully copied. Whether the check succeeds or fails, the spell scroll is destroyed"
6,62,72,"Ammunition, +3",item,"You have a +3 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical."
7,67,73,"Oil of sharpness",item,"This clear, gelatinous oil sparkles with tiny, ultrathin silver shards. The oil can coat one slashing or piercing weapon or up to 5 pieces of slashing or piercing ammunition.
 Applying the oil takes 1 minute. For 1 hour, the coated item is magical and has a +3 bonus to attack and damage rolls."
8,72,74,"Potion of flying",Potion,"When you drink this potion, you gain a flying speed equal to your walking speed for 1 hour and can hover.
 If you're in the air when the potion wears off, you fall unless you have some other means of staying aloft."
9,77,75,"Potion of cloud giant strength",Potion,"When you drink this potion, your Strength score changes to 27 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score. 
This potion's transparent liquid has floating in it a sliver of fingernail from a cloud giant."
10,82,76,"Potion of longevity",Potion,"When you drink this potion, your physical age is reduced by 1d6 + 6 years, to a minimum of 13 years. Each time you subsequently drink a potion of longevity, there is 10 percent cumulative chance that you instead age by 1d6 + 6 years. 
Suspended in this amber liquid are a scorpion's tail, an adder's fang, a dead spider, and a tiny heart that, against all reason, is still beating. These ingredients vanish when the potion is opened."
11,87,77,"Potion of vitality",Potion,"When you drink this potion, it removes any exhaustion you are suffering and cures any disease or poison affecting you. For the next 24 hours, 
you regain the maximum number of hit points for any Hit Die you spend. The potion's crimson liquid regularly pulses with dull light, calling to mind a heartbeat."
12,92,78,"Spell scroll (8th level)",Scroll,"A spell scroll bears the words of a single spell, written in a mystical cipher.
 If the spell is on your class’s spell list, you can read the scroll and cast its spell without providing any material components.
 Otherwise, the scroll is unintelligible. Casting the spell by reading the scroll requires the spell’s normal casting time. Once the spell is cast,
 the words on the scroll fade, and it crumbles to dust. If the casting is interrupted, the scroll is not lost.
If the spell is on your class’s spell list but of a higher level than you can normally cast, you must make an ability check using your spellcasting ability to determine whether you cast it successfully.
 The DC equals 16. On a failed check, the spell disappears from the scroll with no other effect.
This scroll contains a 6th level spell. The spell's saving throw DC is 17 and attack bonus is +9
A wizard spell on a spell scroll can be copied just as spells in spellbooks can be copied. When a spell is copied from a spell scroll, 
the copier must succeed on an Intelligence (Arcana) check with a DC equal to 16. If the check succeeds, the spell is successfully copied. Whether the check succeeds or fails, the spell scroll is destroyed."
